BPOP,-1,9115,0,8481,-0,0444860566448801742919389978
BR,-0,3276,1,1191,0,120065795206971677559912854
BRC,-0,7195,0,5353,-0,0259228758169934640522875817
BREW,-1,2300,1,1800,0,0584313725490196078431372549
BRK.B,-2,2600,3,0700,-0,0052069716775599128540305011
BRKL,-0,2403,0,1459,-0,0083270152505446623093681917
BRKR,-1,2056,0,6299,-0,0483490196078431372549019608
BRKS,-0,1746,0,2270,0,0124542483660130718954248366
BRO,-0,4963,0,3184,-0,0064677559912854030501089325
BRS,-1,4311,5,6420,0,2509993464052287581699346405
BRSS,-0,9615,0,6923,-0,0382372549019607843137254902
BRT,-0,1254,0,1124,-0,0037258581235697940503432494
BSET,-1,2656,0,3922,-0,0469241830065359477124183007
BSRR,-0,6439,1,1226,0,0468117647058823529411764706
BSTC,-0,6900,0,9700,0,085010893246187363834422658
BSX,-0,7500,0,3400,-0,0009803921568627450980392157
BTX,-0,1848,0,2032,-0,003276688453159041394335512
BUSE,-0,4173,0,3912,0,0412603485838779956427015251
BWA,-1,8205,1,6468,0,0045886710239651416122004357
BWFG,-1,8302,0,9684,-0,2349734693877551020408163265
BXC,-2,4000,1,1000,-0,037037037037037037037037037
BXMT,-0,2065,0,2383,-0,0129485838779956427015250545
BXP,-2,4403,4,3405,-0,0803566448801742919389978214
BXS,-0,4077,1,0655,0,0660642701525054466230936819
BYD,-2,3994,0,5751,-0,069753376906318082788671024
BZH,-1,0200,1,0900,0,0204357298474945533769063181
C,-1,5716,1,8974,-0,0269492374727668845315904139
CA,-0,4428,0,8600,0,044553376906318082788671024
CAC,-0,3998,0,5957,0,0165875816993464052287581699
CACC,-2,0200,3,8900,0,3594553376906318082788671024
CACI,-1,1700,1,0400,0,0765795206971677559912854031
CAG,-0,8705,0,6287,0,0145723311546840958605664488
CAH,-1,1158,2,6814,0,2300037037037037037037037037
CAI,-1,4700,0,5600,-0,0023529411764705882352941176
CAKE,-1,0480,2,3006,0,1063400871459694989106753813
CAL,-1,0969,1,0111,0,0541026143790849673202614379
CALM,-0,3814,0,4950,0,0490006535947712418300653595
CALX,-2,6800,0,6500,-0,0589324618736383442265795207
CAMP,-2,2300,2,6600,0,1594117647058823529411764706
CAR,-2,0600,2,6300,0,0716339869281045751633986928
CARB,-1,1900,0,5200,-0,0717429193899782135076252723
CASI,-0,1300,0,1200,-0,00590413943355119825708061
CASS,-2,4769,2,5190,0,1130788671023965141612200436
CASY,-1,4419,1,5852,0,1270039215686274509803921569
CAT,-4,6613,1,2838,-0,0511135076252723311546840959
CATC,-0,8456,0,8456,0,0562168498168498168498168498
CATM,-0,8200,1,4300,0,127037037037037037037037037
CATO,-0,5658,0,9194,0,0836189542483660130718954248
CATY,-0,6271,1,1452,0,0564799564270152505446623094
CB,-1,8931,1,9380,0,1154418300653594771241830065
CBB,-0,6000,1,9500,0,0308278867102396514161220044
CBIO,-25,7256,24,9461,-1,7018030501089324618736383442
CBL,-0,4762,0,3861,-0,0181418300653594771241830065
CBM,-0,3900,1,8100,0,1287581699346405228758169935
CBMG,-0,4000,0,8500,-0,0090841584158415841584158416
CBOE,-1,1412,1,6143,0,1160856209150326797385620915
CBRE,-0,9200,0,9900,-0,0242919389978213507625272331
CBRL,-2,0076,1,8642,0,1327400871459694989106753813
CBS,-2,5552,2,0177,0,083309586056644880174291939
CBSH,-0,5656,1,2279,0,059386274509803921568627451
CBT,-0,6397,1,0270,0,1231078431372549019607843137
CBU,-0,4802,1,2136,0,0647472766884531590413943355
CBZ,-0,2700,0,3500,0,0433115468409586056644880174
CCBG,-0,3818,0,3436,0,0057104575163398692810457516
CCF,-1,2091,1,7351,0,0597971677559912854030501089
CCI,-1,0927,2,1687,0,0828836601307189542483660131
CCK,-0,5300,2,9800,-0,0226143790849673202614379085
CCL,-2,4938,0,8109,-0,033124618736383442265795207
CCMP,-1,0943,3,2732,0,1030625272331154684095860566
CCNE,-0,3914,0,9445,0,067827450980392156862745098
CCO,-0,2138,0,4359,0,0244921568627450980392156863
CCOI,-1,0050,1,7240,0,108990413943355119825708061
CCRN,-0,1800,0,3000,0,0149673202614379084967320261
CCXI,-0,3400,0,4300,-0,0315032679738562091503267974
CDE,-1,1900,1,3200,-0,0469716775599128540305010893
CDMO,-0,4550,0,8400,-0,0211982570806100217864923747
CDNS,-1,5000,0,3750,-0,0205446623093681917211328976
CDR,-0,1279,0,1268,0,0074381263616557734204793028
CDW,-1,1743,0,9242,-0,0651074074074074074074074074
CDXC,-0,1545,0,2220,0,0299019607843137254901960784
CDXS,-0,2600,0,0900,-0,0068845315904139433551198257
CDZI,-0,2300,0,1600,-0,0029411764705882352941176471
CE,-1,7811,2,9045,0,1733633986928104575163398693
CECE,-1,1837,0,9668,0,0546708061002178649237472767
CECO,-1,0400,2,1800,0,0454248366013071895424836601
CELG,-3,1250,2,8400,0,0107298474945533769063180828
CELH,-0,1000,0,0998,-0,0032477678571428571428571429
CENT,-0,2700,0,2800,0,0248583877995642701525054466
CENTA,-0,1500,0,1800,0,0286928104575163398692810458
CENX,-0,8200,1,4800,0,0069063180827886710239651416
CERN,-1,6300,3,8800,0,1683006535947712418300653595
CERS,-0,6300,0,3800,0,0077995642701525054466230937
CETV,-3,2900,0,3100,-0,0702614379084967320261437908
CEVA,-2,7800,0,6400,-0,0573420479302832244008714597
CF,-1,3982,1,5031,0,0698413943355119825708061002
CFFI,-1,9334,1,9938,0,0247228758169934640522875817
CFFN,-0,2317,0,2229,-0,0040209150326797385620915033
CFR,-1,1488,1,9844,0,0280464052287581699346405229
CFX,-1,1200,1,1600,0,0556209150326797385620915033
CGNX,-0,6587,0,8799,0,0112145969498910675381263617
CHCO,-0,9354,1,5275,0,09869586056644880174291939
CHD,-0,5281,0,6319,0,0601104575163398692810457516
CHDN,-1,5319,2,1351,-0,0116206971677559912854030501
CHE,-2,5901,3,0346,0,1792694989106753812636165577
CHEF,-0,7600,1,9300,0,0420261437908496732026143791
CHFC,-0,5070,0,6906,0,0446594771241830065359477124
CHH,-1,1672,2,3530,0,0952047930283224400871459695
CHK,-1,8624,1,0531,-0,0148050108932461873638344227
